HotelName,City,District,Price,Type,Facilities
"Ochoa, Brown and Williams Hotel",Nuwakot,Nuwakot,4345,Lodge,"Laundry Service, Bar, Breakfast"
Burke PLC Hotel,Makwanpur,Makwanpur,7581,Lodge,"Garden, Breakfast, Resturant"
Hotel Janaki Palace,Siraha,Siraha,8875,Guest House,"Bar, Breakfast, Television"
Lumbini Heritage Hotel,Nawalpur,Nawalpur,7230,Homestay,"Room ServiceFamily Rooms, Parking, Garden"
Mountain Sunrise Resort,Kavrepalanchok,Kavrepalanchok,9141,Villa,"Television, Laundry Service, Breakfast"
Kathmandu Garden Inn,Sindhuli,Sindhuli,5495,Resort,"Garden, Hot Water, WiFi"
"Park, Simpson and Arnold Hotel",Kathmandu,Kathmandu,5283,Boutique Hotel,"Conference Room, Room ServiceFamily Rooms, Swimming Pool"
"Sullivan, Thomas and Haley Hotel",Achham,Achham,5498,Eco-lodge,"WiFi, Laundry Service, Conference Room"
The Yak Lodge,Gorkha,Gorkha,9534,Serviced Apartment,"Television, Hot Water, Garden"
"Sutton, Neal and King Hotel",Terhathum,Terhathum,1622,Villa,"Hot Water, Television, WiFi"
Stupa View Inn,Nuwakot,Nuwakot,7183,Lodge,"Bar, Security, Air Conditioning"
Hotel Gorkha,Syangja,Syangja,2903,Cabin,"Conference Room, Hot Water, Tea/Coffee Maker"
Stupa View Inn,Dolpa,Dolpa,8048,Hostel,"Resturant, Television, Security"
Mckinney Ltd Hotel,Dadeldhura,Dadeldhura,1451,Hostel,"Air Conditioning, Security, Resturant"
Himalayan Retreat,Myagdi,Myagdi,2128,Motel,"Room ServiceFamily Rooms, Television, Laundry Service"
Martinez-White Hotel,Bhaktapur,Bhaktapur,7973,Hostel,"Bar, WiFi, Breakfast"
Whitney Ltd Hotel,Gulmi,Gulmi,7413,Lodge,"Garden, Breakfast, Security"
Eaton-Hunt Hotel,Ramechhap,Ramechhap,2884,Bed and Breakfast,"Breakfast, Parking, Security"
Himalayan Retreat,Arghakhanchi,Arghakhanchi,3015,Boutique Hotel,"Television, Swimming Pool, Tea/Coffee Maker"
Eco Himalaya Lodge,Banke,Banke,9578,Bed and Breakfast,"Bar, Conference Room, Laundry Service"
Annapurna Guest House,Bhojpur,Bhojpur,8752,Resort,"Air Conditioning, Resturant, Breakfast"
Jones Ltd Hotel,Surkhet,Surkhet,9947,Villa,"Laundry Service, Conference Room, Swimming Pool"
Eco Himalaya Lodge,Rautahat,Rautahat,6195,Hostel,"Room ServiceFamily Rooms, Resturant, Security"
The Yak Lodge,Taplejung,Taplejung,8257,Resort,"Room ServiceFamily Rooms, Laundry Service, Television"
Hotel Buddha,Darchula,Darchula,2499,Resort,"WiFi, Hot Water, Laundry Service"
Kathmandu Garden Inn,Bhaktapur,Bhaktapur,6285,Hostel,"Air Conditioning, Room ServiceFamily Rooms, Swimming Pool"
Dawson Group Hotel,Sindhuli,Sindhuli,9922,Serviced Apartment,"Garden, Parking, Television"
Richards-Johnson Hotel,Chitwan,Chitwan,8669,Eco-lodge,"Parking, Room ServiceFamily Rooms, Resturant"
Kathmandu Garden Inn,Manang,Manang,3445,Hotel,"WiFi, Bar, Television"
Kathmandu Garden Inn,Siraha,Siraha,4357,Eco-lodge,"Tea/Coffee Maker, Room ServiceFamily Rooms, Swimming Pool"
Anderson-Jones Hotel,Sindhuli,Sindhuli,5583,Homestay,"Air Conditioning, Room ServiceFamily Rooms, Hot Water"
Peaceful Valley Resort,Lamjung,Lamjung,7604,Resort,"Resturant, Hot Water, WiFi"
"Hess, Oliver and Wood Hotel",Mahottari,Mahottari,3784,Cabin,"Conference Room, WiFi, Room ServiceFamily Rooms"
Smith-Aguirre Hotel,Achham,Achham,4844,Boutique Hotel,"WiFi, Room ServiceFamily Rooms, Security"
Hotel Everest View,Okhaldhunga,Okhaldhunga,7636,Homestay,"Tea/Coffee Maker, Air Conditioning, Conference Room"
Himalayan Retreat,Dadeldhura,Dadeldhura,2109,Bed and Breakfast,"Swimming Pool, Air Conditioning, Television"
Kelly-Simon Hotel,Sunsari,Sunsari,4796,Mountain Lodge,"Bar, Conference Room, Parking"
Hotel Everest View,Siraha,Siraha,6081,Homestay,"Parking, Garden, Tea/Coffee Maker"
Cruz-Wiggins Hotel,Makwanpur,Makwanpur,6268,Bed and Breakfast,"Security, WiFi, Conference Room"
Stupa View Inn,Sankhuwasabha,Sankhuwasabha,7168,Guest House,"Resturant, Parking, Laundry Service"
Annapurna Guest House,Rupandehi,Rupandehi,5219,Resort,"Hot Water, Security, Garden"
Eco Himalaya Lodge,Dhanusha,Dhanusha,3389,Bed and Breakfast,"Tea/Coffee Maker, Hot Water, Television"
Hicks-Hall Hotel,Dhankuta,Dhankuta,3476,Serviced Apartment,"Hot Water, Swimming Pool, Conference Room"
Hotel Buddha,Ilam,Ilam,4415,Cabin,"Tea/Coffee Maker, WiFi, Air Conditioning"
Stupa View Inn,Taplejung,Taplejung,7589,Hostel,"Parking, Resturant, Television"
The Yak Lodge,Lalitpur,Lalitpur,4101,Hotel,"Laundry Service, Parking, Tea/Coffee Maker"
Kathmandu Garden Inn,Walung,Walung,1878,Hostel,"Security, Tea/Coffee Maker, Room ServiceFamily Rooms"
Jones-Burns Hotel,Khotang,Khotang,6831,Guest House,"Parking, Resturant, Conference Room"
Wilkerson Inc Hotel,Kathmandu,Kathmandu,3269,Hotel,"Swimming Pool, Breakfast, Air Conditioning"
Kathmandu Garden Inn,Rautahat,Rautahat,7405,Hotel,"WiFi, Conference Room, Tea/Coffee Maker"
Spencer-Jones Hotel,Jhapa,Jhapa,1507,Cabin,"Resturant, Room ServiceFamily Rooms, Security"
The Yak Lodge,Syangja,Syangja,2948,Homestay,"Parking, Laundry Service, Room ServiceFamily Rooms"
Mountain Sunrise Resort,Pyuthan,Pyuthan,1165,Mountain Lodge,"Resturant, Garden, Conference Room"
Smith and Sons Hotel,Dolakha,Dolakha,5506,Cabin,"Hot Water, Laundry Service, Swimming Pool"
"Chavez, Beck and Sexton Hotel",Rolpa,Rolpa,6474,Hostel,"Conference Room, Television, Resturant"
"Clark, Johnson and Khan Hotel",Chitwan,Chitwan,8955,Eco-lodge,"Laundry Service, Tea/Coffee Maker, Garden"
Mountain Sunrise Resort,Parbat,Parbat,2039,Hostel,"Television, WiFi, Garden"
Sellers-Allen Hotel,Rasuwa,Rasuwa,2716,Mountain Lodge,"WiFi, Laundry Service, Room ServiceFamily Rooms"
Rojas PLC Hotel,Okhaldhunga,Okhaldhunga,7901,Bed and Breakfast,"Parking, WiFi, Laundry Service"
Hotel Everest View,Gorkha,Gorkha,6454,Cabin,"Hot Water, Resturant, Breakfast"
Hotel Janaki Palace,Doti,Doti,1899,Mountain Lodge,"Garden, Parking, Tea/Coffee Maker"
Carter-Franco Hotel,Dang,Dang,5496,Cabin,"Room ServiceFamily Rooms, Air Conditioning, Security"
Everest Base Camp Lodge,Kaski,Kaski,2861,Villa,"Hot Water, Tea/Coffee Maker, Room ServiceFamily Rooms"
Harris-Smith Hotel,Makwanpur,Makwanpur,5950,Hotel,"Conference Room, Air Conditioning, WiFi"
Berry and Sons Hotel,Jumla,Jumla,5574,Motel,"Swimming Pool, Resturant, Air Conditioning"
Kathmandu Garden Inn,Doti,Doti,6584,Homestay,"Tea/Coffee Maker, Parking, Resturant"
Williams Ltd Hotel,Bardiya,Bardiya,9981,Cabin,"Conference Room, Parking, Room ServiceFamily Rooms"
Nepal Comfort Stay,Banke,Banke,6454,Bed and Breakfast,"Garden, Conference Room, Bar"
"Jenkins, Ortega and Huffman Hotel",Terhathum,Terhathum,9227,Guest House,"Bar, Tea/Coffee Maker, Television"
"Long, Waters and Collins Hotel",Doti,Doti,9780,Boutique Hotel,"Resturant, Bar, Hot Water"
Namaste Homestay,Dang,Dang,5535,Serviced Apartment,"Conference Room, Bar, WiFi"
Eco Himalaya Lodge,Dhading,Dhading,9273,Villa,"Swimming Pool, Television, Garden"
Eco Himalaya Lodge,Parsa,Parsa,1791,Villa,"Resturant, Laundry Service, Swimming Pool"
"Black, Weiss and Porter Hotel",Rukum East,Rukum East,8813,Villa,"Security, Hot Water, Room ServiceFamily Rooms"
Hotel Gorkha,Kathmandu,Kathmandu,6901,Bed and Breakfast,"Room ServiceFamily Rooms, Security, Hot Water"
White Group Hotel,Mahottari,Mahottari,5384,Bed and Breakfast,"WiFi, Laundry Service, Bar"
Namaste Homestay,Panchthar,Panchthar,9322,Cabin,"Tea/Coffee Maker, Swimming Pool, Television"
Eco Himalaya Lodge,Lalitpur,Lalitpur,8011,Cabin,"Television, WiFi, Air Conditioning"
Everest Base Camp Lodge,Dolpa,Dolpa,2931,Boutique Hotel,"Laundry Service, Garden, WiFi"
"Roberts, Murphy and Armstrong Hotel",Sankhuwasabha,Sankhuwasabha,3292,Resort,"Air Conditioning, Tea/Coffee Maker, Resturant"
English-Atkins Hotel,Terhathum,Terhathum,7614,Mountain Lodge,"Tea/Coffee Maker, Breakfast, Garden"
Peaceful Valley Resort,Darchula,Darchula,5426,Motel,"Swimming Pool, Air Conditioning, Television"
"Hall, Lewis and Burgess Hotel",Sarlahi,Sarlahi,1277,Homestay,"WiFi, Hot Water, Garden"
Doyle and Sons Hotel,Kaski,Kaski,5666,Hostel,"Swimming Pool, Room ServiceFamily Rooms, WiFi"
Moore-Hughes Hotel,Darchula,Darchula,7704,Resort,"Security, Garden, Breakfast"
Pokhara Peace Lodge,Saptari,Saptari,6824,Villa,"Breakfast, Parking, Swimming Pool"
Peaceful Valley Resort,Rautahat,Rautahat,6527,Lodge,"Bar, Air Conditioning, Hot Water"
Hamilton Inc Hotel,Kathmandu,Kathmandu,7716,Bed and Breakfast,"Breakfast, Air Conditioning, Security"
Stupa View Inn,Sindhupalchok,Sindhupalchok,9620,Hotel,"Television, Bar, Hot Water"
"Ellis, Briggs and Brown Hotel",Sindhuli,Sindhuli,3490,Serviced Apartment,"Parking, Laundry Service, Security"
Clark and Sons Hotel,Kailali,Kailali,1048,Motel,"Bar, Swimming Pool, Resturant"
Rodriguez-Young Hotel,Dadeldhura,Dadeldhura,5582,Serviced Apartment,"WiFi, Tea/Coffee Maker, Bar"
