place_id,name,location,district,weather,description,img_url
ama,Ama Dabkam Base Camp,Solukhumbu,Solukhumbu,cold,Base camp for Ama Dablam expedition offering technical climbing access and spectacular mountain scenery.,https://adventureconsultants.com/uploads/Himalaya/Ama-Dablam/AD-SL.jpg
annapurna_trek,Annapurna Trekking,Annapurna region,Multiple,cold,World-famous trekking route with breathtaking mountain views.,https://www.acethehimalaya.com/wp-content/uploads/2022/08/memories-made-at-abc-during-annapurna-base-camp-trek-600x450.jpg.webp
annapurna_trek,Annapurna Base Camp,,kaski,cold,Trek through rhododendron forests and traditional villages to reach the spectacular amphitheater of peaks at 4130m elevation.,https://www.mountainphotography.com/images/xl/20141119-ABC-Welcome-Sign.jpg
bagra,Bagra,Manang,Manang,cold,Traditional village in Manang district known for ancient monastery Tibetan culture and mountain lifestyle.,https://media02.stockfood.com/largepreviews/MjIxMjA3MjYxMQ%3D%3D/71357181-The-traditional-village-of-Braga-in-the-Manang-Valley-Nepal-Himalayas-Asia.jpg
bandipur,Bandipur,Bandipur,Tanahun,warm,A preserved historic town with traditional Newari architecture and mountain views.,https://www.footprintadventure.com/uploads/media/Villages/bandipur-bazaar.jpg
bardiya_np,Bardiya National Park,Thakurdwara,Bardiya,warm,"Lush forest home to Bengal tigers, elephants, and rare species.",https://bardianationalpark.gov.np/media/slider_image/photo_2.jpg
bat_cave,Bat Cave,Pokhara,Kaski,cold,Limestome Cave and Bat Colony,https://saarang.com.np/wp-content/uploads/2023/08/Chamero-Gufa-Photo.jpeg
begnas_lake,Begnas Lake,Pokhara,Kaski,cold;sunny,Peaceful lake near Pokhara perfect for kayaking fishing and enjoying serene natural surroundings.,https://nepaltraveller.com/images/main/1611908148.sidetrackimage1024px-Begnas_Lake_Bhuwan.jpg
bhaktapur_durbar,Bhaktapur Durbar Square,Bhaktapur,Bhaktapur,sunny,UNESCO World Heritage Site with medieval architecture and art.,https://images.squarespace-cdn.com/content/v1/57b9b98a29687f1ef5c622df/1487895673391-0CPDBXETME6LTQC0M45T/00000000000000000000.jpg
bhedetar,Bhedetar,Dhankuta,Dhankuta,cold,"A popular hill station in Eastern Nepal, near Dharan, known for its cooler climate, lush green hills, and panoramic views of the Terai plains and sometimes even Mount Everest on clear days",https://upload.wikimedia.org/wikipedia/commons/1/13/Vedetar_2019_web_small.jpg
bhotekhosi,Bhotekhosi River,Sindhupalchok,Sindhupalchowk,cold,"A Himalayan river known for white-water rafting, bungee jumping, and adventure sports near the Tibet-Nepal border.",https://www.mountainmarttreks.com/public/uploads/Bhotekoshi.jpg
bouddhanath,Boudhanath Stupa,Kathmandu,Kathmandu,sunny,One of world's largest stupas and important Tibetan Buddhist pilgrimage site with vibrant monastery life.,https://lp-cms-production.imgix.net/2019-06/813869da84003e9ab623499ae2465723-bodhnath-stupa.jpg
budhanilkantha,Budhanilkantha,Kathmandu,Kathmandu,sunny,Famous for large stone sculpture of sleeping Vishnu lying on serpent bed in water pool.,http://budhanilkanthatemple.org.np/assets/template/img/banner-img1.jpg
changu_narayan,Changu Narayan,Bhaktapur,Solukhumbu,sunny,Ancient Hindu temple dedicated to Lord Vishnu featuring exquisite stone and wood carvings from 4th century.,https://nht-api.nepalhikingteam.com/media/blog/banner/changu-narayan-temple.jpg
