place_id,name,location,district,category,travel_style,weather,budget_level,description,img_url
janaki_temple,Janaki Temple,Janakpur,Dhanusha,cultural;spiritual,cultural,warm,low,"A grand temple dedicated to Goddess Sita, revered by Hindus.",https://media.istockphoto.com/id/1406903619/photo/birth-palace-of-sita-mata-janakpur.jpg?s=1024x1024&w=is&k=20&c=u4bflQI09ruMkapu5Z-OlsojIgdpPz9tSGZAajKXXIo=
bhaktapur_durbar,Bhaktapur Durbar Square,Bhaktapur,Bhaktapur,cultural,cultural,sunny,low,UNESCO World Heritage Site with medieval architecture and art.,https://images.squarespace-cdn.com/content/v1/57b9b98a29687f1ef5c622df/1487895673391-0CPDBXETME6LTQC0M45T/00000000000000000000.jpg
rara_lake,Rara Lake,Mugu,Mugu,relaxation;adventure;family_friendly,adventure;relaxation,cold,medium,"The largest lake in Nepal, surrounded by tranquil mountains and pine forests.",https://upload.wikimedia.org/wikipedia/commons/a/ae/Rara_lake%2C_Mugu.jpg
manakamana_cable,Manakamana Temple,Gorkha,Gorkha,religious;hill,relaxation,warm,low,"Famous temple of goddess Bhagwati, accessible by cable car.",https://sannidhi.net/wp-content/uploads/2023/03/manakamana2.jpeg
kalinchowk_temple,Kalinchowk Bhagwati,Dolakha,Dolakha,"religious,;mountain",trekking,cold,medium,A popular shrine and snow destination in winter.,https://upload.wikimedia.org/wikipedia/commons/f/f4/Kuri_Village.jpg
shey_phoksundo,Shey Phoksundo Lake,Dolpa,Dolpa,"lake, adventure",trekking,cold,medium,A stunning turquoise lake in the Himalayas within Shey Phoksundo National Park.,https://honeyguideapps.s3.amazonaws.com/static/trip/e68f234b5b55/phoksundo-lake-trek_4025.jpeg
tilicho_lake,Tilicho Lake,Manang,Manang,"adventure, lake",relaxation,cold,medium,"One of the highest lakes in the world, nestled at the foot of the Himalayas.",https://upload.wikimedia.org/wikipedia/commons/3/30/Peak_Tilicho_and_Lake_Tilicho.jpg
khaptad_national_park,Khaptad National Park,Bajhang,Bajhang,"national park, nature",wildlife,sunny,low,"Undisturbed biodiversity and rolling meadows, perfect for meditation and nature lovers.",https://english.onlinekhabar.com/wp-content/uploads/2022/08/khaptad-wildflower.jpg
resunga_hill,Resunga Hill,Tamghas,Gulmi,hill;pilgrimage,relaxation,cold,low,A sacred hill known for its natural beauty and religious significance.,https://tripguidenepal.com/wp-content/uploads/2024/01/WhatsApp-Image-2024-01-31-at-2.27.44%E2%80%AFPM-2-1024x768.jpeg
gadhimai_temple,Gadhimai Temple,Bariyarpur,Bara,spiritual;cultural,cultural,warm,low,An important Hindu shrine famous for large religious fairs.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gadhimai_Temple_Gadhimai_Kalaiya_Bara_Nepal_Rajesh_Dhungana_%283%29.jpg/1280px-Gadhimai_Temple_Gadhimai_Kalaiya_Bara_Nepal_Rajesh_Dhungana_%283%29.jpg
bardiya_np,Bardiya National Park,Thakurdwara,Bardiya,wildlife;national park,wildlife,warm,medium,"Lush forest home to Bengal tigers, elephants, and rare species.",https://bardianationalpark.gov.np/media/slider_image/photo_2.jpg
pokhara_lake,Phewa Lake,Pokhara,Kaski,lake;nature,relaxation,warm,medium,A serene lake with boating options and stunning views of the Annapurna range.,https://holeinthedonut.com/wp-content/uploads/2018/03/Nepal-Pokhara-Wooden-boats-on-Phewa-Lake.jpg
chitwan_jungle,Chitwan Jungle Safari,Chitwan,Chitwan,wildlife;adventure,wildlife,warm,medium,"Explore wildlife in dense jungles and spot rhinos, tigers, and elephants.",https://www.dudhwanptr.com/wp-content/uploads/2018/12/One-horn-rhino.jpg
kathmandu_durbar,Kathmandu Durbar Square,Kathmandu,Kathmandu,"cultural, historic",cultural,warm,low,Historic palace complex in the heart of Kathmandu city with temples and museums.,https://live.staticflickr.com/777/21763669118_d2cd207dee_b.jpg
nagarkot_hill,Nagarkot Hill,Nagarkot,Bhaktapur,"hill, nature, sunrise",adventure;relaxation,cold,low,Famous for spectacular sunrise views over the Himalayas and trekking trails.,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/36/be/3f.jpg
annapurna_trek,Annapurna Trekking,Annapurna region,Multiple,trekking;nature;adventure,trekking,cold,medium,World-famous trekking route with breathtaking mountain views.,https://www.acethehimalaya.com/wp-content/uploads/2022/08/memories-made-at-abc-during-annapurna-base-camp-trek-600x450.jpg.webp
lumbini,Lumbini,Lumbini,Rupandehi,cultural;spritual,cultural,warm,low,"Birthplace of Lord Buddha, a UNESCO World Heritage site and pilgrimage destination.",https://cdn.elebase.io/173fe953-8a63-4a8a-8ca3-1bacb56d78a5/1541dff2-f6a9-48b2-9bcd-f2edbebf6845-lumbini-gallery-02.jpg?fit=crop&h=500&q=75&w=1000
bandipur,Bandipur,Bandipur,Tanahun,cuktural;historic,relaxation,warm,low,A preserved historic town with traditional Newari architecture and mountain views.,https://www.footprintadventure.com/uploads/media/Villages/bandipur-bazaar.jpg
ilam,Kanyam,Ilam,Ilam,nature,relaxation,cold;sunny,medium,"A scenic hill station known for tea gardens, greenery, and fresh air.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Tea_garden_at_kanyam_ilam.jpg/2560px-Tea_garden_at_kanyam_ilam.jpg
jiri_basecamp,Jiri BaseCamp,Jiri,Dolakha,trekking;adventure;nature,trekking,cold,high,Gateway to Everest in earlier trekking days.,https://www.nepalmountaintrekkers.com/wp-content/uploads/2021/02/jiri-ebc.jpg
ramdung_peak,Ramdung Peak,Dolakha,Dolakaha,mountain;trekking;adventure,trekking,cold,medium,Climbable peak for beginner mountaineers.,https://sunriseadventuretrek.com/admin/images/package/20230505133726image-Ramdung-Peak-climbing-2.jpg
patan_durbar,Patan Durbar Square,Patan,Lalitpur,cultural;historical,cultural,sunny,,Heritage square with fine Newari arts.,https://media.sublimetrails.com/uploads/img/untitled-design--50-.webp
